Class,Metric,Value,CI_Lower,CI_Upper,Final
Gastric cancer,Precision,0.8412650374560554,0.7532427449094116,0.9125,0.841 (0.753–0.912)
Gastric cancer,Recall,0.8200948083873719,0.7341561181434599,0.8958400974025974,0.820 (0.734–0.896)
Gastric cancer,F1-Score,0.8296999855005551,0.7672861398779969,0.8863667076167075,0.830 (0.767–0.886)
Gastric cancer,AUPRC,0.9258074968931116,0.8880318057053257,0.959430103995042,0.926 (0.888–0.959)
Non-gastric cancer,Precision,0.9215009454059804,0.8808290155440415,0.9574524372396713,0.922 (0.881–0.957)
Non-gastric cancer,Recall,0.9318314996806821,0.8965201299873623,0.963355557373473,0.932 (0.897–0.963)
Non-gastric cancer,F1-Score,0.9264651898274003,0.8981723237597912,0.9509089568587799,0.926 (0.898–0.951)
Non-gastric cancer,AUPRC,0.9776552468209205,0.9610243949892951,0.9898646513290182,0.978 (0.961–0.990)
Overall,Accuracy,0.897619047619048,0.8608058608058609,0.9304029304029304,0.898 (0.861–0.930)
Overall,AUC-ROC,0.9542166977737675,0.929320987654321,0.9758436373560677,0.954 (0.929–0.976)
