Class,Metric,Value,CI_Lower,CI_Upper,Final
Gastric cancer,Precision,0.8286650938543707,0.75,0.906999694002448,0.829 (0.750–0.907)
Gastric cancer,Recall,0.7971081415272445,0.7108142246404975,0.8765474378488077,0.797 (0.711–0.877)
Gastric cancer,F1-Score,0.8116859646259043,0.7450516693163752,0.8712255835272547,0.812 (0.745–0.871)
Gastric cancer,AUPRC,0.9063698345892055,0.8551052218220265,0.9479911009584303,0.906 (0.855–0.948)
Non-gastric cancer,Precision,0.9119417873617749,0.8709552064181849,0.9495075757575757,0.912 (0.871–0.950)
Non-gastric cancer,Recall,0.9273684054364398,0.8888733705772811,0.960199711668928,0.927 (0.889–0.960)
Non-gastric cancer,F1-Score,0.9194061302891707,0.8906527472527473,0.9445786311472804,0.919 (0.891–0.945)
Non-gastric cancer,AUPRC,0.9775027738228259,0.9639052609569694,0.9881695488749827,0.978 (0.964–0.988)
Overall,Accuracy,0.8874871794871797,0.8498168498168498,0.9195054945054943,0.887 (0.850–0.920)
Overall,AUC-ROC,0.9502311333738771,0.9254957426673136,0.9712918311696223,0.950 (0.925–0.971)
